"Category","Gg (1,000 Tonnes)",
"National Greenhouse Gas Inventory Total","499,958.09",
"Energy","306,145.06",
"Fuel Combustion","268,078.15",
"Energy Industries","151,415.81",
"Public Electricity and Heat Production","135,505.44",
"Petroleum Refining","6,006.73",
"Manufacture of Solid Fuels and Other Energy Industries","9,903.64",
"Manufacturing Industries and Construction","35,927.05",
"Iron and Steel","2,489.03",
"Non-Ferrous Metals","12,120.70",
"Chemicals","5,561.44",
"Food Processing, Beverages and Tobacco","3,136.64",
"Non-Metallic Minerals","4,830.07",
"Other","6,392.09",
"Transport","63,559.85",
"Domestic aviation","3,705.25",
"Road Transportation","55,461.29",
"Railways","1,869.47",
"Domestic Navigation","2,179.61",
"Other Transportation",344.23,
"Other Sectors","16,671.07",
"Commercial / Institutional","3,801.70",
"Residential","9,206.90",
"Agriculture, Forestry and Fishing","3,662.48",
"Other (not elsewhere classified)",504.37,
"Fugitive Emissions From Fuels","38,066.91",
"Solid Fuels","23,546.42",
"Coal Mining","23,544.33",
"Other",2.08,
"Oil and Natural Gas","14,520.49",
"Oil",516.13,
"Natural Gas","5,497.61",
"Venting and Flaring","8,506.75",
"Industrial Processes","25,612.92",
"Mineral Industry","5,195.81",
"Cement Production","3,004.70",
"Lime Production",885.04,
"Glass Production","Data is not available",
"Other process uses of carbonates","1,306.07",
"Chemical Industry","4,402.73",
"Metal Industry","15,381.46",
"Non-energy products from fuels and solvent use",266.01,
"Electronics industry","Data is not available",
"Product uses as substitutes for Ozone Depleting Substances","Data is not available",
"Other product manufacture and use",276.87,
"Other",90.06,
"Agriculture","74,905.90",
"Enteric Fermentation","59,888.77",
"Manure Management","2,551.76",
"Rice Cultivation",424.48,
"Agricultural Soils","10,797.89",
"Prescribed Burning of Savannas","Data is not available",
"Field Burning of Agricultural Residues",475.96,
"Liming",382.83,
"Urea Application",384.20,
"Other Carbon-containing Fertilisers","Data is not available",
"Land Use, Land-Use Change and Forestry KP","73,693.31",
"Afforestation and reforestation",-472.53,
"Deforestation","82,837.63",
"Forest management","-21,596.18",
"Cropland Management","1,794.83",
"Grazing land management","10,814.35",
"Revegetation",315.20,
"Waste","19,600.91",
"Other","Data is confidential",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Mon Oct 22 2018 17:35:15 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for multiple sectors: National Greenhouse Gas Inventory Total, Energy, Fuel Combustion, Energy Industries, Public Electricity and Heat Production, Petroleum Refining, Manufacture of Solid Fuels and Other Energy Industries, Manufacturing Industries and Construction, Iron and Steel, Non-Ferrous Metals, Chemicals, Food Processing, Beverages and Tobacco, Non-Metallic Minerals, Other, Transport, Domestic aviation, Road Transportation, Railways, Domestic Navigation, Other Transportation, Other Sectors, Commercial / Institutional, Residential, Agriculture, Forestry and Fishing, Other (not elsewhere classified), Fugitive Emissions From Fuels, Solid Fuels, Coal Mining, Other, Oil and Natural Gas, Oil, Natural Gas, Venting and Flaring, Industrial Processes, Mineral Industry, Cement Production, Lime Production, Glass Production, Other process uses of carbonates, Chemical Industry, Metal Industry, Non-energy products from fuels and solvent use, Electronics industry, Product uses as substitutes for Ozone Depleting Substances, Other product manufacture and use, Other, Agriculture, Enteric Fermentation, Manure Management, Rice Cultivation, Agricultural Soils, Prescribed Burning of Savannas, Field Burning of Agricultural Residues, Liming, Urea Application, Other Carbon-containing Fertilisers, Land Use, Land-Use Change and Forestry KP, Afforestation and reforestation, Deforestation, Forest management, Cropland Management, Grazing land management, Revegetation, Waste, Other."
"Copyright 2018 Department of the Environment and Energy."
