"Category","Gg (1,000 Tonnes)",
"National Greenhouse Gas Inventory Total","560,115.79",
"Energy","296,704.78",
"Fuel Combustion","259,257.70",
"Energy Industries","146,325.40",
"Public Electricity and Heat Production","131,723.27",
"Petroleum Refining","5,757.17",
"Manufacture of Solid Fuels and Other Energy Industries","8,844.96",
"Manufacturing Industries and Construction","35,791.44",
"Iron and Steel","2,575.01",
"Non-Ferrous Metals","11,639.51",
"Chemicals","5,814.02",
"Food Processing, Beverages and Tobacco","3,157.53",
"Non-Metallic Minerals","4,987.88",
"Other","6,426.51",
"Transport","60,924.30",
"Domestic aviation","3,257.43",
"Road Transportation","53,100.07",
"Railways","1,960.55",
"Domestic Navigation","2,340.48",
"Other Transportation",265.77,
"Other Sectors","15,770.11",
"Commercial / Institutional","3,673.61",
"Residential","8,610.79",
"Agriculture, Forestry and Fishing","3,485.70",
"Other (not elsewhere classified)",446.46,
"Fugitive Emissions From Fuels","37,447.07",
"Solid Fuels","22,481.80",
"Coal Mining","22,481.36",
"Other",0.43,
"Oil and Natural Gas","14,965.28",
"Oil",481.71,
"Natural Gas","6,164.48",
"Venting and Flaring","8,319.09",
"Industrial Processes","25,281.05",
"Mineral Industry","5,152.40",
"Cement Production","3,183.03",
"Lime Production",809.46,
"Glass Production","Data is not available",
"Other process uses of carbonates","1,159.90",
"Chemical Industry","3,318.96",
"Metal Industry","16,226.24",
"Non-energy products from fuels and solvent use",259.04,
"Electronics industry","Data is not available",
"Product uses as substitutes for Ozone Depleting Substances","Data is not available",
"Other product manufacture and use",239.34,
"Other",85.07,
"Agriculture","79,292.43",
"Enteric Fermentation","64,224.42",
"Manure Management","2,435.34",
"Rice Cultivation",320.15,
"Agricultural Soils","11,252.59",
"Prescribed Burning of Savannas","Data is not available",
"Field Burning of Agricultural Residues",425.04,
"Liming",260.26,
"Urea Application",374.64,
"Other Carbon-containing Fertilisers","Data is not available",
"Land Use, Land-Use Change and Forestry KP","138,826.11",
"Afforestation and reforestation",940.33,
"Deforestation","140,343.73",
"Forest management","-19,484.10",
"Cropland Management",-964.42,
"Grazing land management","17,804.17",
"Revegetation",186.39,
"Waste","20,011.42",
"Other","Data is confidential",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Mon Oct 22 2018 17:35:38 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for multiple sectors: National Greenhouse Gas Inventory Total, Energy, Fuel Combustion, Energy Industries, Public Electricity and Heat Production, Petroleum Refining, Manufacture of Solid Fuels and Other Energy Industries, Manufacturing Industries and Construction, Iron and Steel, Non-Ferrous Metals, Chemicals, Food Processing, Beverages and Tobacco, Non-Metallic Minerals, Other, Transport, Domestic aviation, Road Transportation, Railways, Domestic Navigation, Other Transportation, Other Sectors, Commercial / Institutional, Residential, Agriculture, Forestry and Fishing, Other (not elsewhere classified), Fugitive Emissions From Fuels, Solid Fuels, Coal Mining, Other, Oil and Natural Gas, Oil, Natural Gas, Venting and Flaring, Industrial Processes, Mineral Industry, Cement Production, Lime Production, Glass Production, Other process uses of carbonates, Chemical Industry, Metal Industry, Non-energy products from fuels and solvent use, Electronics industry, Product uses as substitutes for Ozone Depleting Substances, Other product manufacture and use, Other, Agriculture, Enteric Fermentation, Manure Management, Rice Cultivation, Agricultural Soils, Prescribed Burning of Savannas, Field Burning of Agricultural Residues, Liming, Urea Application, Other Carbon-containing Fertilisers, Land Use, Land-Use Change and Forestry KP, Afforestation and reforestation, Deforestation, Forest management, Cropland Management, Grazing land management, Revegetation, Waste, Other."
"Copyright 2018 Department of the Environment and Energy."
