"","CensusCountry"
"1","Abyssinia"
"2","Adelie Land (France)"
"3","Aden"
"4","Afghanistan"
"5","Africa"
"6","Africa (excl. North Africa)"
"7","Africa (excluding North Africa)"
"8","Africa (nei)"
"9","Africa (undefined)"
"10","Aland Islands"
"11","Albania"
"12","Algeria"
"13","Amboina"
"14","America"
"15","America (nei)"
"16","Americas"
"17","Americas, nfd"
"18","Andorra"
"19","Angola"
"20","Anguilla"
"21","Antarctica"
"22","Antarctica, nfd"
"23","Antigua"
"24","Antigua and Barbuda"
"25","Arab Republic of Egypt"
"26","Arabia"
"27","Argentina"
"28","Argentine"
"29","Argentine Republic"
"30","Argentinian Antarctic Territory"
"31","Armenia"
"32","Aruba"
"33","Ascension Is."
"34","Ashanti"
"35","Asia"
"36","Asia (nei)"
"37","Asia (undefined)"
"38","Asia Minor"
"39","Austral Is."
"40","Australasia"
"41","Australia"
"42","Australia - undefined"
"43","Australia - Undefined"
"44","Australia (incl.  External Territories), nfd"
"45","Australia (incl. External Territories)"
"46","Australia (includes External Territories)"
"47","Australia (includes External Territories), nfd"
"48","Australia (undefined)"
"49","Australian Antarctic Territory"
"50","Australian Capital Territory"
"51","Australian External Territories"
"52","Australian External Territories, nec"
"53","Australian Territories and New Zealand"
"54","Austria"
"55","Austria-Hungary"
"56","Azerbaijan"
"57","Azores"
"58","Bahamas"
"59","Bahrain"
"60","Bahrain, Jordan, Saudi Arabia, Kuwait, Muscat & Oman, Qatar, Yemen"
"61","Banda Is."
"62","Bangay"
"63","Bangladesh"
"64","Banjoar Is."
"65","Barbados"
"66","Bechuanaland"
"67","Belarus"
"68","Belgium"
"69","Belize"
"70","Benin"
"71","Bermuda"
"72","Bermudas"
"73","Bhutan"
"74","Billiton"
"75","Bismarck Archipelago"
"76","Bolivia"
"77","Bolivia, Plurinational State of"
"78","Bonaire, Sint Eustatius and Saba"
"79","Borneo"
"80","Bosnia and Herzegovina"
"81","Bosnia-Herzegovina"
"82","Botswana"
"83","Brazil"
"84","British Antarctic Territory"
"85","British Baluchistan"
"86","British Borneo"
"87","British Guiana"
"88","British Honduras"
"89","British India"
"90","British India and Ceylon"
"91","British Kowloon"
"92","British Polynesia (undefined)"
"93","British West Indies"
"94","British West Indies (nei)"
"95","British West Indies (undefined)"
"96","Brunei"
"97","Brunei Darussalam"
"98","Bulgaria"
"99","Burkina Faso"
"100","Burma"
"101","Burma (Myanmar)"
"102","Burma (Republic of the Union of Myanmar)"
"103","Burmah"
"104","Burundi"
"105","Byelorussia"
"106","Cabo Verde Islands"
"107","Cambodia"
"108","Cambodia, Laos and Viet Nam"
