"","CensusCountry","ppl"
"1","Total - Place of birth[1]",7540830
"2","Afghanistan",51960
"3","Albania",15365
"4","Algeria",64625
"5","American Samoa",0
"6","Andorra",20
"7","Angola",3120
"8","Anguilla",60
"9","Antigua and Barbuda",2310
"10","Argentina",19430
"11","Armenia",4165
"12","Aruba",580
"13","Australia",21115
"14","Austria",15845
"15","Azerbaijan",3845
"16","Bahamas",1635
"17","Bahrain",2390
"18","Bangladesh",58735
"19","Barbados",14095
"20","Belarus",11190
"21","Belgium",18935
"22","Belize",1995
"23","Benin",2760
"24","Bermuda",1845
"25","Bhutan",4250
"26","Bolivia[3]",4400
"27","Bonaire, Sint Eustatius and Saba",25
"28","Bosnia and Herzegovina",36135
"29","Botswana",850
"30","Brazil",29315
"31","British Indian Ocean Territory",0
"32","Brunei Darussalam",4485
"33","Bulgaria",18635
"34","Burkina Faso",1980
"35","Burma (Myanmar)",8215
"36","Burundi",8470
"37","Cabo Verde",170
"38","Cambodia",23320
"39","Cameroon",18570
"40","Cayman Islands",270
"41","Central African Republic",1055
"42","Chad",1595
"43","Chile",26705
"44","China[17]",649260
"45","Christmas Island",0
"46","Cocos (Keeling) Islands",0
"47","Colombia",70040
"48","Comoros",140
"49","Congo, Democratic Republic of the",25655
"50","Congo, Republic of the",2460
"51","Cook Islands",0
"52","Costa Rica",3950
"53","Croatia",40040
"54","Cuba",17850
"55","Curaçao",470
"56","Cyprus",4020
"57","Czech Republic",21065
"58","Côte d'Ivoire",11325
"59","Denmark",12515
"60","Djibouti",2235
"61","Dominica",2775
"62","Dominican Republic",10605
"63","Ecuador",14965
"64","Egypt",64620
"65","El Salvador",48075
"66","Equatorial Guinea",60
"67","Eritrea",15010
"68","Estonia",3200
"69","Ethiopia",32790
"70","Falkland Islands (Malvinas)",10
"71","Faroe Islands",35
"72","Fiji",24660
"73","Finland",9525
"74","France",105570
"75","French Guiana",280
"76","French Polynesia",185
"77","Gabon",1080
"78","Gambia",665
"79","Georgia",2570
"80","Germany",145840
"81","Ghana",22910
"82","Gibraltar",160
"83","Greece",62715
"84","Greenland",55
"85","Grenada",10265
"86","Guadeloupe",515
"87","Guam",30
"88","Guatemala",17275
"89","Guernsey",195
"90","Guinea",5190
"91","Guinea-Bissau",110
"92","Guyana",87680
"93","Haiti",93485
"94","Holy See (Vatican City State)",0
"95","Honduras",7790
"96","Hong Kong[18]",208935
"97","Hungary",36825
"98","Iceland",590
"99","India",668565
"100","Indonesia",14280
"101","Iran[14]",154420
"102","Iraq",68490
"103","Ireland[6]",28320
"104","Isle of Man",415
"105","Israel",26735
"106","Italy",236635
"107","Jamaica",138345
"108","Japan",27245
"109","Jersey",360
"110","Jordan",13295
"111","Kazakhstan",12450
