"Category","Gg (1,000 Tonnes)",
"National Greenhouse Gas Inventory Total","524,650.80",
"Energy","409,682.26",
"Fuel Combustion","368,686.59",
"Energy Industries","204,835.73",
"Public Electricity and Heat Production","180,788.88",
"Petroleum Refining","4,587.77",
"Manufacture of Solid Fuels and Other Energy Industries","19,459.08",
"Manufacturing Industries and Construction","46,411.04",
"Iron and Steel","1,558.65",
"Non-Ferrous Metals","15,264.90",
"Chemicals","8,325.78",
"Food Processing, Beverages and Tobacco","3,335.35",
"Non-Metallic Minerals","5,304.94",
"Other","11,185.15",
"Transport","94,026.23",
"Domestic aviation","8,619.22",
"Road Transportation","79,971.52",
"Railways","3,384.63",
"Domestic Navigation","1,445.02",
"Other Transportation",605.83,
"Other Sectors","22,474.58",
"Commercial / Institutional","5,695.29",
"Residential","10,380.84",
"Agriculture, Forestry and Fishing","6,398.45",
"Other (not elsewhere classified)",939.01,
"Fugitive Emissions From Fuels","40,995.67",
"Solid Fuels","25,149.38",
"Coal Mining","24,329.08",
"Other",820.30,
"Oil and Natural Gas","15,846.30",
"Oil",294.42,
"Natural Gas","6,454.74",
"Venting and Flaring","9,097.14",
"Industrial Processes","32,594.89",
"Mineral Industry","5,785.48",
"Cement Production","3,137.57",
"Lime Production","1,185.93",
"Glass Production","Data is not available",
"Other process uses of carbonates","1,461.99",
"Chemical Industry","4,184.32",
"Metal Industry","9,866.24",
"Non-energy products from fuels and solvent use",181.23,
"Electronics industry","Data is not available",
"Product uses as substitutes for Ozone Depleting Substances","12,214.02",
"Other product manufacture and use",161.90,
"Other",201.70,
"Agriculture","72,685.73",
"Enteric Fermentation","53,097.06",
"Manure Management","3,459.18",
"Rice Cultivation",254.24,
"Agricultural Soils","13,052.17",
"Prescribed Burning of Savannas","Data is not available",
"Field Burning of Agricultural Residues",332.18,
"Liming","1,138.74",
"Urea Application","1,352.17",
"Other Carbon-containing Fertilisers","Data is not available",
"Land Use, Land-Use Change and Forestry KP","-2,674.78",
"Afforestation and reforestation","-23,765.61",
"Deforestation","37,568.94",
"Forest management","-22,966.16",
"Cropland Management","-5,110.81",
"Grazing land management","11,697.36",
"Revegetation",-98.51,
"Waste","12,362.70",
"Other","Data is confidential",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Mon Oct 22 2018 17:29:09 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for multiple sectors: National Greenhouse Gas Inventory Total, Energy, Fuel Combustion, Energy Industries, Public Electricity and Heat Production, Petroleum Refining, Manufacture of Solid Fuels and Other Energy Industries, Manufacturing Industries and Construction, Iron and Steel, Non-Ferrous Metals, Chemicals, Food Processing, Beverages and Tobacco, Non-Metallic Minerals, Other, Transport, Domestic aviation, Road Transportation, Railways, Domestic Navigation, Other Transportation, Other Sectors, Commercial / Institutional, Residential, Agriculture, Forestry and Fishing, Other (not elsewhere classified), Fugitive Emissions From Fuels, Solid Fuels, Coal Mining, Other, Oil and Natural Gas, Oil, Natural Gas, Venting and Flaring, Industrial Processes, Mineral Industry, Cement Production, Lime Production, Glass Production, Other process uses of carbonates, Chemical Industry, Metal Industry, Non-energy products from fuels and solvent use, Electronics industry, Product uses as substitutes for Ozone Depleting Substances, Other product manufacture and use, Other, Agriculture, Enteric Fermentation, Manure Management, Rice Cultivation, Agricultural Soils, Prescribed Burning of Savannas, Field Burning of Agricultural Residues, Liming, Urea Application, Other Carbon-containing Fertilisers, Land Use, Land-Use Change and Forestry KP, Afforestation and reforestation, Deforestation, Forest management, Cropland Management, Grazing land management, Revegetation, Waste, Other."
"Copyright 2018 Department of the Environment and Energy."
