"Category","Gg (1,000 Tonnes)",
"National Greenhouse Gas Inventory Total","519,839.01",
"Energy","415,373.44",
"Fuel Combustion","373,142.74",
"Energy Industries","210,771.83",
"Public Electricity and Heat Production","187,048.51",
"Petroleum Refining","4,905.27",
"Manufacture of Solid Fuels and Other Energy Industries","18,818.05",
"Manufacturing Industries and Construction","46,600.04",
"Iron and Steel","1,567.71",
"Non-Ferrous Metals","14,669.19",
"Chemicals","8,806.43",
"Food Processing, Beverages and Tobacco","3,332.84",
"Non-Metallic Minerals","5,580.96",
"Other","11,054.81",
"Transport","92,855.49",
"Domestic aviation","8,504.10",
"Road Transportation","78,901.27",
"Railways","3,299.22",
"Domestic Navigation","1,544.73",
"Other Transportation",606.17,
"Other Sectors","22,072.90",
"Commercial / Institutional","5,338.98",
"Residential","10,289.47",
"Agriculture, Forestry and Fishing","6,444.44",
"Other (not elsewhere classified)",842.48,
"Fugitive Emissions From Fuels","42,230.70",
"Solid Fuels","26,221.85",
"Coal Mining","25,575.69",
"Other",646.16,
"Oil and Natural Gas","16,008.85",
"Oil",357.41,
"Natural Gas","6,434.57",
"Venting and Flaring","9,216.87",
"Industrial Processes","33,178.33",
"Mineral Industry","6,106.25",
"Cement Production","3,294.42",
"Lime Production","1,256.43",
"Glass Production","Data is not available",
"Other process uses of carbonates","1,555.40",
"Chemical Industry","4,576.41",
"Metal Industry","10,386.41",
"Non-energy products from fuels and solvent use",184.77,
"Electronics industry","Data is not available",
"Product uses as substitutes for Ozone Depleting Substances","11,540.35",
"Other product manufacture and use",143.77,
"Other",240.37,
"Agriculture","72,559.94",
"Enteric Fermentation","53,637.46",
"Manure Management","3,298.84",
"Rice Cultivation",376.71,
"Agricultural Soils","12,850.21",
"Prescribed Burning of Savannas","Data is not available",
"Field Burning of Agricultural Residues",358.61,
"Liming",760.32,
"Urea Application","1,277.80",
"Other Carbon-containing Fertilisers","Data is not available",
"Land Use, Land-Use Change and Forestry KP","-13,474.68",
"Afforestation and reforestation","-24,774.59",
"Deforestation","34,546.01",
"Forest management","-21,457.88",
"Cropland Management","-4,658.63",
"Grazing land management","2,987.23",
"Revegetation",-116.82,
"Waste","12,201.98",
"Other","Data is confidential",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Mon Oct 22 2018 17:29:33 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for multiple sectors: National Greenhouse Gas Inventory Total, Energy, Fuel Combustion, Energy Industries, Public Electricity and Heat Production, Petroleum Refining, Manufacture of Solid Fuels and Other Energy Industries, Manufacturing Industries and Construction, Iron and Steel, Non-Ferrous Metals, Chemicals, Food Processing, Beverages and Tobacco, Non-Metallic Minerals, Other, Transport, Domestic aviation, Road Transportation, Railways, Domestic Navigation, Other Transportation, Other Sectors, Commercial / Institutional, Residential, Agriculture, Forestry and Fishing, Other (not elsewhere classified), Fugitive Emissions From Fuels, Solid Fuels, Coal Mining, Other, Oil and Natural Gas, Oil, Natural Gas, Venting and Flaring, Industrial Processes, Mineral Industry, Cement Production, Lime Production, Glass Production, Other process uses of carbonates, Chemical Industry, Metal Industry, Non-energy products from fuels and solvent use, Electronics industry, Product uses as substitutes for Ozone Depleting Substances, Other product manufacture and use, Other, Agriculture, Enteric Fermentation, Manure Management, Rice Cultivation, Agricultural Soils, Prescribed Burning of Savannas, Field Burning of Agricultural Residues, Liming, Urea Application, Other Carbon-containing Fertilisers, Land Use, Land-Use Change and Forestry KP, Afforestation and reforestation, Deforestation, Forest management, Cropland Management, Grazing land management, Revegetation, Waste, Other."
"Copyright 2018 Department of the Environment and Energy."
