"Category","Gg (1,000 Tonnes)",
"National Greenhouse Gas Inventory Total","551,786.93",
"Energy","364,552.31",
"Fuel Combustion","324,357.83",
"Energy Industries","192,159.28",
"Public Electricity and Heat Production","175,412.54",
"Petroleum Refining","6,169.14",
"Manufacture of Solid Fuels and Other Energy Industries","10,577.61",
"Manufacturing Industries and Construction","38,952.22",
"Iron and Steel","2,521.13",
"Non-Ferrous Metals","13,309.83",
"Chemicals","6,064.32",
"Food Processing, Beverages and Tobacco","3,282.53",
"Non-Metallic Minerals","5,046.12",
"Other","7,234.71",
"Transport","74,388.55",
"Domestic aviation","4,950.76",
"Road Transportation","65,036.34",
"Railways","1,769.28",
"Domestic Navigation","2,058.25",
"Other Transportation",573.91,
"Other Sectors","18,222.85",
"Commercial / Institutional","4,544.04",
"Residential","9,194.35",
"Agriculture, Forestry and Fishing","4,484.46",
"Other (not elsewhere classified)",634.93,
"Fugitive Emissions From Fuels","40,194.48",
"Solid Fuels","25,545.61",
"Coal Mining","25,533.88",
"Other",11.73,
"Oil and Natural Gas","14,648.87",
"Oil",558.50,
"Natural Gas","4,140.93",
"Venting and Flaring","9,949.44",
"Industrial Processes","26,682.93",
"Mineral Industry","6,231.93",
"Cement Production","3,620.86",
"Lime Production",956.71,
"Glass Production","Data is not available",
"Other process uses of carbonates","1,654.37",
"Chemical Industry","3,444.99",
"Metal Industry","14,753.43",
"Non-energy products from fuels and solvent use",284.11,
"Electronics industry","Data is not available",
"Product uses as substitutes for Ozone Depleting Substances","1,613.20",
"Other product manufacture and use",210.15,
"Other",145.12,
"Agriculture","78,419.32",
"Enteric Fermentation","59,895.83",
"Manure Management","2,940.42",
"Rice Cultivation",434.27,
"Agricultural Soils","12,936.83",
"Prescribed Burning of Savannas","Data is not available",
"Field Burning of Agricultural Residues",510.85,
"Liming",738.22,
"Urea Application",962.90,
"Other Carbon-containing Fertilisers","Data is not available",
"Land Use, Land-Use Change and Forestry KP","66,461.56",
"Afforestation and reforestation","-11,335.52",
"Deforestation","71,071.51",
"Forest management","-7,492.60",
"Cropland Management","1,246.37",
"Grazing land management","12,745.67",
"Revegetation",226.13,
"Waste","15,670.82",
"Other","Data is confidential",

"Source: Australian Greenhouse Emissions Information System, Department of the Environment and Energy. (Mon Oct 22 2018 17:33:07 GMT+1100 (Australian Eastern Daylight Time))"
"Footnote: These emission estimates are accounted for multiple sectors: National Greenhouse Gas Inventory Total, Energy, Fuel Combustion, Energy Industries, Public Electricity and Heat Production, Petroleum Refining, Manufacture of Solid Fuels and Other Energy Industries, Manufacturing Industries and Construction, Iron and Steel, Non-Ferrous Metals, Chemicals, Food Processing, Beverages and Tobacco, Non-Metallic Minerals, Other, Transport, Domestic aviation, Road Transportation, Railways, Domestic Navigation, Other Transportation, Other Sectors, Commercial / Institutional, Residential, Agriculture, Forestry and Fishing, Other (not elsewhere classified), Fugitive Emissions From Fuels, Solid Fuels, Coal Mining, Other, Oil and Natural Gas, Oil, Natural Gas, Venting and Flaring, Industrial Processes, Mineral Industry, Cement Production, Lime Production, Glass Production, Other process uses of carbonates, Chemical Industry, Metal Industry, Non-energy products from fuels and solvent use, Electronics industry, Product uses as substitutes for Ozone Depleting Substances, Other product manufacture and use, Other, Agriculture, Enteric Fermentation, Manure Management, Rice Cultivation, Agricultural Soils, Prescribed Burning of Savannas, Field Burning of Agricultural Residues, Liming, Urea Application, Other Carbon-containing Fertilisers, Land Use, Land-Use Change and Forestry KP, Afforestation and reforestation, Deforestation, Forest management, Cropland Management, Grazing land management, Revegetation, Waste, Other."
"Copyright 2018 Department of the Environment and Energy."
